16:41:53:215 [ALWAYS]	GUDE Logging Started
16:41:53:216 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:41:53:217 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:41:53:217 [ERROR]	Initialize resume cache pointer failure
16:41:53:219 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:41:53:219 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:42:09:803 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:42:09:803 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:42:09:803 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:42:09:806 [ERROR]	Initialize resume cache pointer failure
16:42:09:807 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:42:09:807 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
